grupo_id,num_opciones_grupo,offset_hex,texto_original_jp,traduccion_esp,lineas_esp,traduccion_eng,lineas_eng,estado
1,3,0xd4090,文字はどう？,"Y las letras, que tal?",1,"And the letters, how are
they?",2,ok
1,3,0xd4050,時間は違う？,La hora es distinta?,1,Is the time different?,1,ok
1,3,0xd4110,題名って同じ？,El titulo es el mismo?,1,Is the title the same?,1,ok
2,2,0xd5c54,バカバカしい,Que ridiculo,1,How ridiculous,1,ok
2,2,0xd62dc,いいよ、やってみよ,"Bueno, intentemoslo",1,"Okay, let's try it",1,ok
3,2,0xd6174,しょうがないなあ,No hay de otra.,1,There's no other way.,1,ok
3,2,0xd60e8,アリサがやりなよ,"Hazlo tu, Arisa",1,"You do it, Arisa",1,ok
4,2,0xd600c,カナにまかせるよ,Se lo dejo a Kana,1,I'll leave it to Kana,1,ok
4,2,0xd63a0,“ブンシンさま”で！,Con Bunjin-sama!,1,With Bunjin-sama!,1,ok
5,2,0xd5c34,カガミ　リコ,Kagami Riko,1,Kagami Riko,1,ok
5,2,0xd5e24,イズミ　レイカ,Izumi Reika,1,Izumi Reika,1,ok
6,2,0xd5e04,もう一度リコに,Otra vez a Riko,1,Call Riko again,1,ok
6,2,0xd5a28,レイカに,A Reika,1,Call Reika,1,ok
7,2,0xd5ee4,もう一度リコに,Otra vez a Riko,1,Call Riko again,1,ok
7,2,0xd59d4,レイカに,A Reika,1,Call Reika,1,ok
8,2,0xdabdc,カナに電話してみる,"Voy a llamar
a Kana",2,I'll call Kana,1,ok
8,2,0xdb2f8,メグミに電話してみる,"Voy a llamar
a Megumi",2,I'll call Megumi,1,ok
9,2,0xdbaa8,なんで文字化けしたの？,"Por que se
corrompio el texto?",2,"Why did the text get
garbled?",2,ok
9,2,0xdb370,神隠しって…気になる,"La desaparicion
misteriosa...me preocupa",2,"The mysterious
disappearance...worries me",2,acortado-2026-09-15
10,2,0xdaba0,実行したから……？,"Porque lo
hice......?",2,Because I did it......?,1,ok
10,2,0xd8d54,呪い…？,Una maldicion...?,1,A curse...?,1,ok
11,3,0xdc328,そんなことって、あるの？,"Eso puede pasar de
verdad?",2,Can that really happen?,1,ok
11,3,0xdc3b4,じゃあ、カナたちはどこに,"Entonces, donde estan
Kana y los demas",2,"Then, where are Kana
and the others",2,ok
11,3,0xdc3d0,わたしもやってみようかな,"Creo que yo tambien
lo voy a intentar.",2,I think I'll try it too.,1,ok
12,2,0xdb430,チェーンメールって…,"Lo del correo en
cadena...",2,"That chain email
thing...",2,ok
12,2,0xdac54,わたしのクラスで…,En mi curso...,1,In my class...,1,ok
13,2,0xdac68,そのアドレス教えて,"Dame esa
direccion",2,Give me that address,1,ok
13,2,0xda68c,ちょっと不安が…,"Tengo un poco
de miedo...",2,I'm a little scared...,1,ok
14,2,0xda6f0,旧校舎を見てみる,"Voy a revisar el
edificio viejo",2,"I'll check the old
building",2,ok
14,2,0xd9a48,そのまま帰る,Volver asi sin mas,1,Just go back like this,1,ok
15,2,0xda0f8,…失礼なヤツ…,"...Que tipo mas
grosero...",2,"...What a rude
person...",2,ok
15,2,0xdb5f8,…まさか……ナナシ？,"...No puede
ser......Nanashi?",2,"...No
way......Nanashi?",2,sincronizado-2026-09-17
16,2,0xdbc58,…ちょっと…言いすぎ…,"Eso... fue
demasiado...",2,"...That... was too
much...",2,ok
16,2,0xdbc88,…しょうがないでしょ…,"No hay de otra,
sabes...",2,"...There's no other
way, you know...",2,ok
17,2,0xdae60,ごめん、やめておくよ,"Perdon, mejor
no",2,"Sorry, better not",1,ok
17,2,0xda830,やってみたいけど…,"Quiero
intentarlo, pero...",2,"I want to try it, but...",1,ok
18,2,0xd9be8,じゃ、１回だけ,"Bueno, solo
una vez",2,"Alright, just once",1,ok
18,2,0xdaec0,やっぱり、やめておく,"Mejor no, al
final",2,"Better not, after all",1,ok
19,2,0xd942c,やってみる,Voy a intentarlo,1,I'll give it a try,1,ok
19,2,0xd91b0,やめておく,Mejor no,1,Better not,1,ok
20,2,0xd9084,やってみる,Voy a intentarlo,1,I'll give it a try,1,ok
20,2,0xd948c,やめておく,Mejor no,1,Better not,1,ok
21,2,0xdb7c0,旧校舎って、やばいの？,"El edificio viejo es
peligroso?",2,"Is the old building
dangerous?",2,ok
21,2,0xdbe20,神隠しのウワサも旧校舎…,"El kamikakushi
tambien es de ahi...",2,"The kamikakushi rumor
is from there too...",2,ok
22,3,0xdb3d0,やっぱり、やめようよ,"Mejor dejemoslo,
al final",2,"Let's just drop it, after
all",2,ok
22,3,0xd9a58,早くやろうよ,"Hagamoslo
rapido",2,Let's do it quickly,1,ok
22,3,0xda858,……落ち着かない…,"......No me
puedo calmar...",2,"......I can't calm
down...",2,ok
23,3,0xdb880,早くここから出ないと…,"Hay que salir de aqui
rapido...",2,"We need to get out of
here fast...",2,ok
23,3,0xda3f8,リコ、どうする？,"Riko, que hacemos?",1,"Riko, what do we do?",1,ok
23,3,0xdc034,レイカに相談してみない？,"Por que no le
preguntamos a Reika?",2,"Why don't we ask Reika
about it?",2,ok
24,2,0xd9db8,ちょっと待って,Espera un poco,1,Wait a moment,1,ok
24,2,0xda470,リコはどう思う？,Que piensa Riko?,1,What does Riko think?,1,ok
25,2,0xd9c78,リコ、録音して,"Riko, graba",1,"Riko, record it",1,ok
25,2,0xda9c0,なに…この胸騒ぎ…,"Que es...esta
inquietud...",2,"What is...this uneasy
feeling...",2,ok
26,2,0xd9988,この鳴き声…,Este sonido...,1,This sound...,1,ok
26,2,0xd9cc8,廊下に何が…？,"Que hay en el
pasillo...?",2,"What's in the
hallway...?",2,ok
27,2,0xdb340,…やっぱり…キツネ…,"...Al final...
un zorro...",2,...After all...a fox...,1,ok
27,2,0xdc2d4,…動物の…鳴き声じゃない,"No es el sonido de un
animal...",2,"...It's not the sound of
an animal...",2,ok
28,3,0xd9718,メグミじゃ…,No sera Megumi...,1,Could it be Megumi...,1,ok
28,3,0xd9f18,やっぱりカナ…,"Al final, Kana...",1,"In the end, Kana...",1,ok
28,3,0xd92e8,アリサ…？,Arisa...?,1,Arisa...?,1,ok
29,2,0xd8b98,わかった,Entendido,1,Got it,1,ok
