offset_hex,largo_bytes,texto_original,revisado,traduccion
0xd118c,8,豫莅,,"[CHECK ROM - illegible/placeholder original text, not translated]"
0xd2c14,41,"そのときの状態をセーブ
することができる。",,"You can save your
game state at that
time."
0xd2c40,49,"心拍が高まったときは、
霊を撮影できることがある。",,"If your heart rate rises,
you can sometimes
photograph spirits."
0xd2c74,51,"物音を聞いたとき、それを
録音しておくことができる。",,"When you hear a
noise, you can
record it."
0xd3298,8,えー…。,,Uhh...
0xd32a4,8,…えっ？,,...Huh?
0xd32b0,8,カナ…。,,Kana...
0xd32bc,8,ひっ…。,,Hii...
0xd32c8,8,えっ…？,,Huh...?
0xd32d4,8,お願い！,,Please!
0xd32ec,10,あぁ……。,,Aah.....
0xd3310,10,…いいえ？,,...No?
0xd331c,10,急いで…。,,Hurry...
0xd3334,10,お願い…。,,Please...
0xd3340,10,…はっ…。,,...Ha...
0xd3370,10,すごいね。,,That's amazing.
0xd33ac,10,よし……。,,Alright.....
0xd33b8,10,…いや…。,,...No...
0xd33c4,12,本当だって！,,I'm serious!
0xd33d4,12,・・・・・・,,......
0xd33e4,12,・・・・・・,,......
0xd33f4,12,がんばれ…。,,Hang in there...
0xd3404,12,（ミズキ…）,,(Mizuki...)
0xd3414,12,そうなの…。,,That's right...
0xd3424,14,力を抜いて…。,,Relax...
0xd3434,14,間に合った…？,,"Did we make it in
time...?"
0xd3444,14,あたし…なの？,,Is it me...?
0xd3454,14,あとひとり…。,,One more to go...
0xd3464,14,どういうこと？,,What do you mean?
0xd3474,16,わかってるって。,,I know that already.
0xd3488,16,指を離さないで。,,"Don't let go of your
finger."
0xd349c,16,あ……指が……。,,Ah...my finger...
0xd34b0,16,国際結婚じゃん。,,"That's an international
marriage."
0xd34c4,16,…動かないね…。,,...It's not moving...
0xd34d8,16,……じゃあ……。,,"...Well, then..."
0xd34ec,16,お…遅かった…？,,Was it...too late...?
0xd3500,18,…キツネって……。,,...A fox......
0xd3514,18,…そ…そうだね…。,,Y-yeah...sure...
0xd3528,18,教えてください…。,,"Please, tell me..."
0xd353c,18,教えてください…。,,"Please, tell me..."
0xd3550,18,カナ、落ち着いて！,,"Kana, calm down!"
0xd3564,20,じゃあ、もう１回…。,,"Alright, one more
time..."
0xd357c,20,カナ、落ち着いて…。,,"Kana, calm down..."
0xd3594,20,……け…圏外…だ…。,,...N-no signal...
0xd35ac,20,…教えてください…。,,"...Please, tell me..."
0xd35c4,22,どうぞおいでください。,,"Please, come."
0xd35dc,22,あ…もう送ったっけ…。,,"Ah...did I already send
it...?"
0xd35f4,22,どうぞおいでください。,,"Please, come."
0xd360c,22,ありがとうございます。,,Thank you very much.
0xd3624,22,…いや……いやあっ！！,,...No......no!!
0xd363c,22,もう１回試してみよう。,,"Let's try it one more
time."
0xd366c,25,今さら、コックリさん…？,,"Now, Kokkuri-san...?"
0xd3688,24,カナ、時間無いよ！早く！,,"Kana, there's no time!
Hurry!"
0xd36a4,24,ありがとうございました。,,Thank you very much.
0xd36c0,24,ちゃんと真剣に念じてる？,,"Are you really
concentrating?"
0xd36dc,24,…質問…してないのに…。,,"...But I didn't ask
anything..."
0xd36f8,24,…ありがとうございます。,,"...Thank you very
much."
0xd3714,26,ははっ……冗談でしょ……。,,"Haha...it's a joke,
right?......"
0xd3730,26,あ、なんか圏外になりそう。,,"Ah, looks like the
signal's about to cut
out."
0xd374c,26,やばいよ、これ…ぜったい。,,"This is serious...I'm
sure of it."
0xd3768,26,…あたしは結婚できますか？,,"...Will I be able to get
married?"
0xd3784,28,…まさか、カナ、信じてんの？,,"...No way, Kana, do
you really believe in
this?"
0xd37a4,28,あ、ありがとうございます…。,,"Ah, thank you very
much..."
0xd37c4,28,上手く書けなかったみたい…。,,"Looks like I didn't write
it right..."
0xd37e4,30,あ、ありがとうござい…ます…。,,"Ah, th-thank...you..."
0xd3804,30,でもさ、ちょっと気になるんだ。,,"But you know, it's been
bugging me."
0xd3824,32,ごめん、あたしがよけいなこと…。,,"Sorry, I shouldn't have
said something extra..."
0xd3848,32,…コックリさん、コックリさん…。,,"...Kokkuri-san,
Kokkuri-san..."
0xd386c,32,まだ出会っていない…ということ？,,"Does that mean we
haven't met yet...?"
0xd3890,33,"…だ、大丈夫だって。
じゃあ……。",,"...I-it's fine, really.
Well......"
0xd38b4,33,"…ほら、メグミ。
コインに触って？",,"...Come on, Megumi.
Touch the coin?"
0xd38d8,33,"いい？
ぜったい指を離さないでよ。",,"Got it? Don't let go of
your finger, no matter
what."
0xd38fc,35,"はいはい、あたしが悪かった
ですよ。",,"Yeah, yeah, it was my
fault."
0xd3920,35,"中央のコインを触り続けて
ください。",,"Please keep touching the
center coin."
0xd3944,35,"中央のコインを触り続けて
ください。",,"Please keep touching the
center coin."
0xd3968,35,"あたしの結婚相手は、日本人
ですか？",,"Is my future husband
Japanese?"
0xd398c,35,"……いのちほしい
……命欲しい…！？",,"...want life ...I want a
life...!?"
0xd39b0,37,"冗談半分にすると、取り憑かれる
から。",,"If you take it as a joke,
the spirit will possess
you."
0xd39d8,39,"その時、少しだけコインが
動いたんだよ。",,"At that moment, the coin
moved a little."
0xd3a00,39,"携帯電話のメール画面は、
下画面もしくは",,"The phone's email
screen is on the
bottom, or"
0xd3a28,41,"あたしも昨日もらった時、
笑ったんだけど。",,"I laughed too when I got
it yesterday."
0xd3a54,41,"十字ボタンの上下で、
スクロールできます。",,"You can scroll with
up and down on the
pad."
0xd3a80,41,"ホントかな…。
…ありがとうございます…。",,"I wonder if it's true...
...thank you very
much..."
0xd3aac,41,"あたしの結婚相手の名前を教えて
ください。",,"Please tell me the name
of my future husband."
0xd3ad8,41,"ね、転送する６人ってどう選んだら
いいの？",,"Hey, how do I choose
the 6 people to forward
it to?"
0xd3b04,43,"質問は終わりです。
どうぞ、お帰りください。",,"The questions are over.
Please return to your
place."
0xd3b30,43,"送信したい人を選んで、
決定を押して下さい。",,"Choose who you
want to send it to
and press confirm."
0xd3b5c,43,"漢字の「犬」をアリサの
背中に書いて下さい。",,"Write the kanji for
dog on Arisa's back."
0xd3b88,45,"だから、それは指の筋肉が
ケイレンしたんだよ。",,"That's because your
finger cramped up."
0xd3bb8,45,"もうやめよ、コックリさんに帰って
もらおうよ。",,"Let's stop already, let
Kokkuri-san go for
good."
0xd3be8,45,"ミズキに送るしかない…。
ごめんね…ミズキ…。",,"I have no choice but to
send it to Mizuki... I'm
sorry...Mizuki..."
0xd3c18,51,"教えてください。あたしが結婚する
のはいくつですか？",,"Tell me. At what age will
I get married?"
0xd3c4c,51,"………やっぱりブンシンさま
じゃ、ダメなんじゃない？",,"...In the end,
Bunjin-sama doesn't
work, does it?"
0xd3c80,51,"レイカなら…ここから抜け出せる
方法がわかるかも…。",,"If it's Reika...maybe
she'll know how to get
out of here..."
0xd3cb4,51,"あたしの結婚相手が、どこの国の人
か教えてください。",,"Tell me what country my
future husband is from."
0xd3ce8,53,"あたしの結婚相手は、今のあたしが
知っている人ですか？",,"Is my future husband
someone I already know?"
0xd3d20,55,"もしおいでになられましたら、
「はい」へお進みください。",,"If you have already
arrived, please proceed
to Yes."
0xd3d58,55,"もしおいでになられましたら、
「はい」へお進みください。",,"If you have already
arrived, please proceed
to Yes."
0xd3d90,57,"時間もないし、今日メールやりとり
した人でいいんじゃない。",,"There's no time, let's
just pick someone we
texted with today."
0xd3dcc,59,"コックリさんて、小学生の時、
一度友達とやってみたんだけど、",,"About Kokkuri-san, I
tried it once in
elementary school with a
friend, but"
0xd3e08,59,"（転校してきたばかりだし、
　かわいそうだから、やめとこ…）",,"(She just transferred
schools, I'd feel bad,
better not...)"
0xd3e44,59,"じゃあ、告られている２人は、
どっちも運命の人じゃないんだ。",,"So, neither of the two
who confessed to you is
your destined person."
0xd3e80,63,"では１つの質問に答えていただく
ごとに、鳥居までお戻りください。",,"Then, each time you
answer a question,
return to the torii."
0xd3ec4,6,えっ？,,Huh?
0xd3ecc,6,そう。,,That's right.
0xd3ed4,6,ひっ！,,Hii!
0xd3edc,6,あっ！,,Ah!
0xd3ee4,8,ホント？,,Really?
0xd3ef0,8,ひっ…。,,Hii...
0xd3efc,8,うん…。,,Yeah...
0xd3f08,8,うん…。,,Yeah...
0xd3f14,8,大丈夫？,,You okay?
0xd3f2c,10,救急箱…。,,The first aid kit...
0xd3f38,10,そうなの？,,Really?
0xd3f44,10,うーん…。,,Mmm...
0xd3f50,10,ああっ…。,,Aah...!
0xd3f5c,10,…うん…。,,...Yeah...
0xd3f68,10,やめてよ。,,Stop it.
0xd3f74,10,えっ……。,,Huh......
0xd3f80,10,そんな…。,,No way...
0xd3f8c,10,手帳だ…。,,It's a notebook...
0xd3f98,10,…足音…。,,...Footsteps...
0xd3fa4,10,ダメだ…。,,It's no good...
0xd3fb0,12,なにこれ！？,,What is this!?
0xd3fc0,12,・・・・・・,,......
0xd3fd0,12,えっ、どれ？,,"Huh, which one?"
0xd3fe0,12,なんでよ…！,,Why...!
0xd3ff0,12,知ってるの？,,Do you know?
0xd4000,12,まさかね…。,,Probably not...
0xd4010,12,・・・・・・,,......
0xd4020,12,わかった…。,,Understood...
0xd4030,12,この空洞…。,,This hole...
0xd4040,12,…やった…。,,...I did it...
0xd4050,12,時間は違う？,,Is the time different?
0xd4060,12,…うん……。,,...Yeah......
0xd4070,12,…ごめん…。,,...Sorry...
0xd4080,12,どうしたの？,,What's wrong?
0xd4090,12,文字はどう？,,"And the letters, how are
they?"
0xd40a0,14,よっしゃ……。,,Alright......
0xd40b0,14,何か写ってる？,,"Is there something in the
photo?"
0xd40c0,14,なんだろう…。,,What could this be...
0xd40d0,14,…どうしたの？,,...What's wrong?
0xd40e0,14,（…ナナシ…）,,(...Nanashi...)
0xd40f0,14,もうやめよっ！,,Let's just stop!
0xd4100,14,あ、そっか…。,,"Ah, I see..."
0xd4110,14,題名って同じ？,,Is the title the same?
0xd4120,14,あたしもだよ。,,Me too.
0xd4130,14,数字？どんな？,,A number? Which one?
0xd4140,16,うん、今度こそ。,,"Yes, for real this time."
0xd4154,16,知っていますか？,,Do you know?
0xd4168,16,じゃあ…質問…。,,"Alright...one
question..."
0xd417c,16,馬鹿にしてない？,,"Aren't you making fun
of me?"
0xd4190,16,おいでください。,,"Please, come."
0xd41a4,16,…集中するの…。,,"...I need to
concentrate..."
0xd41b8,16,指を離さないで。,,"Don't let go of your
finger."
0xd41cc,16,ご、ごめん……。,,I-I'm sorry......
0xd41e0,18,この写真…見て…。,,This photo...look...
0xd41f4,18,あ、わかる、それ。,,"Ah, I get that."
0xd4208,18,…さっきと違う…。,,"...It's different from
before..."
0xd421c,18,そ、ならいいけど。,,"Ah, well, that's fine
then."
0xd4230,18,中に入ってみよう。,,Let's go in and see.
0xd4244,18,（悩んでるのに…）,,"(And here I am
worried...)"
0xd4258,20,じゃあ、もう１回…。,,"Alright, one more
time..."
0xd4270,20,…キツネを抱いてる。,,"...She's holding a fox
in her arms..."
0xd4288,20,あ…もう送ったよね。,,"Ah...I already sent it,
right?"
0xd42a0,20,あっ、肩に背後霊…。,,"Ah, there's a spirit on
your shoulder..."
0xd42b8,20,それじゃ、始めるよ。,,"Alright, let's begin."
0xd42d0,20,じゃ、力を抜いて…。,,"Okay, relax..."
