offset_hex,largo_bytes,texto_original,revisado,traduccion
0xd118c,8,豫莅,,"[REVISAR ROM - texto original ilegible/placeholder, no traducido]"
0xd2c14,41,"そのときの状態をセーブ
することができる。",,"Puedes guardar tu
estado del juego en
ese momento."
0xd2c40,49,"心拍が高まったときは、
霊を撮影できることがある。",,"Si tu pulso sube, a
veces puedes
fotografiar espiritus."
0xd2c74,51,"物音を聞いたとき、それを
録音しておくことができる。",,"Cuando escuches un
ruido, puedes
grabarlo."
0xd3298,8,えー…。,,Ehh...
0xd32a4,8,…えっ？,,...Eh?
0xd32b0,8,カナ…。,,Kana...
0xd32bc,8,ひっ…。,,Hii...
0xd32c8,8,えっ…？,,Eh...?
0xd32d4,8,お願い！,,Por favor!
0xd32ec,10,あぁ……。,,Ah......
0xd3310,10,…いいえ？,,...No?
0xd331c,10,急いで…。,,Apurate...
0xd3334,10,お願い…。,,Por favor...
0xd3340,10,…はっ…。,,...Ha...
0xd3370,10,すごいね。,,Que increible.
0xd33ac,10,よし……。,,Bien.....
0xd33b8,10,…いや…。,,...No...
0xd33c4,12,本当だって！,,Es en serio!
0xd33d4,12,・・・・・・,,......
0xd33e4,12,・・・・・・,,......
0xd33f4,12,がんばれ…。,,Fuerza...
0xd3404,12,（ミズキ…）,,(Mizuki...)
0xd3414,12,そうなの…。,,Asi es...
0xd3424,14,力を抜いて…。,,Relajate...
0xd3434,14,間に合った…？,,Llegamos a tiempo...?
0xd3444,14,あたし…なの？,,Soy yo...?
0xd3454,14,あとひとり…。,,Falta uno...
0xd3464,14,どういうこと？,,Que quieres decir?
0xd3474,16,わかってるって。,,Ya lo se.
0xd3488,16,指を離さないで。,,No sueltes el dedo.
0xd349c,16,あ……指が……。,,Ah...el dedo...
0xd34b0,16,国際結婚じゃん。,,"Eso es un matrimonio
internacional."
0xd34c4,16,…動かないね…。,,...No se mueve...
0xd34d8,16,……じゃあ……。,,"...Bueno, entonces..."
0xd34ec,16,お…遅かった…？,,Fue...muy tarde...?
0xd3500,18,…キツネって……。,,...Un zorro......
0xd3514,18,…そ…そうだね…。,,S-si...claro...
0xd3528,18,教えてください…。,,"Diganme, por favor..."
0xd353c,18,教えてください…。,,"Diganme, por favor..."
0xd3550,18,カナ、落ち着いて！,,"Kana, calmate!"
0xd3564,20,じゃあ、もう１回…。,,"Bueno, una vez mas..."
0xd357c,20,カナ、落ち着いて…。,,"Kana, calmate..."
0xd3594,20,……け…圏外…だ…。,,...S-sin señal...
0xd35ac,20,…教えてください…。,,"...Diganme, por favor..."
0xd35c4,22,どうぞおいでください。,,"Por favor, venga."
0xd35dc,22,あ…もう送ったっけ…。,,Ah...ya lo envie...?
0xd35f4,22,どうぞおいでください。,,"Por favor, venga."
0xd360c,22,ありがとうございます。,,Muchas gracias.
0xd3624,22,…いや……いやあっ！！,,...No......no!!
0xd363c,22,もう１回試してみよう。,,"Intentemoslo
una vez mas."
0xd366c,25,今さら、コックリさん…？,,"Ahora, Kokkuri-san...?"
0xd3688,24,カナ、時間無いよ！早く！,,"Kana, no hay tiempo!
Apurate!"
0xd36a4,24,ありがとうございました。,,Muchas gracias.
0xd36c0,24,ちゃんと真剣に念じてる？,,"Estas concentrandote
en serio?"
0xd36dc,24,…質問…してないのに…。,,"...Pero no hice
ninguna pregunta..."
0xd36f8,24,…ありがとうございます。,,...Muchas gracias.
0xd3714,26,ははっ……冗談でしょ……。,,"Jaja...es broma,
no?......"
0xd3730,26,あ、なんか圏外になりそう。,,"Ah, parece que se va
a cortar la señal."
